vipAddress,FilterName,Route,Path,UpstreamPath,Host,IP_Based,SubFilters,AuthType,Entitlements,ClientName
1pidentity.1p.snapshot.dev,credentialsPreFilter,/api/credentials.*,null,/credentials,null,FALSE,null,NOVALIDATE,null,1PIDENTITY
1plinksentitlements.1p.snapshot.dev,links-entitlements,/api/links/entitlements.*,null,/entitlements,null,TRUE,null,NOVALIDATE,null,links-entitlements
1plinksentitlementsui.1p.snapshot.dev,linksentPreFilter,/linksent.*,/linksent,/,null,TRUE,null,NOVALIDATE,null,LINKSENT_FRONTEND
1plinksgateway.1p.snapshot.dev,linksGatewayPrefilter,/api/gateway.*,null,/gateway,null,FALSE,null,NOVALIDATE,null,LINKS-GATEWAY
1pmanumatcher.1p.snapshot.dev,matcherPrefilter,/api/matcher.*,/api/matcher,/matcher,null,FALSE,null,NOVALIDATE,null,1pmanumatcher
1pmedia.1p.snapshot.dev,mediaServiceNoValidate,/api/media.*,/api/media,/media,null,FALSE,null,NOVALIDATE,null,MEDIA
1pmicrouiaccount.1p.snapshot.dev,accountUIPreFilter,/account.*,/account.*,/,apps.dev-snapshot.clarivate.com||fb1.apps.dev-snapshot.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_ACCOUNT
1pmicrouilogin.1p.snapshot.dev,AuthMicroSitePreFilter,/.*,/.*,/,iam-snapshot.dev.oneplatform.build,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN
1pmicrouiloginfb1.1p.snapshot.dev,AuthMicroSiteFb1PreFilter,/.*,/.*,/,access.dev-snapshot-fb1.clarivate.com||apps.dev-snapshot-fb2.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN_FB1
1pmicrouiloginfb2.1p.snapshot.dev,AuthMicroSiteFb2LoginPreFilter,null,/,/,null,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN_FB2
1pmicrouiloginngx.1p.snapshot.dev,AuthMicroSiteNgxPreFilter,/.*,/.*,/,fb1.apps.dev-snapshot.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN_NGX
1pmodels.1p.snapshot.dev,modelsPrefilter,/api/models.*,/api/models,/,null,FALSE,null,NOVALIDATE,null,1PMODELS
1pmwsbridge.1p.snapshot.dev,mwsBridge,/api/bridge/mws/.*,null,/bridge/mws,null,FALSE,null,NOVALIDATE,null,MWSBRIDGE
1pneonui.1p.snapshot.dev,neonPreFilter,/neon.*,/neon,/,null,FALSE,null,NOVALIDATE,null,1P_NEON_UI
1pnotify.1p.snapshot.dev,notify,/api/notify/.*,null,/notify,null,FALSE,null,AUTH,null,NOTIFY
1pnotifyv2.1p.snapshot.dev,notifyv2,/api/notifyv2/.*,/api/notifyv2,/notify,null,FALSE,null,NOVALIDATE,null,NOTIFYV2
1poauth.1p.snapshot.dev,1poauthPreFilter,/api/token.*,null,/token,null,FALSE,null,null,null,OAUTH
1ppreferences.1p.snapshot.dev,preferencesService,/api/preferences.*,null,/preferences,null,FALSE,null,NOAUTH,null,PREFERENCES
1pprofile.1p.snapshot.dev,userProfileService,/api/users/user.*,null,/users/user,null,FALSE,null,AUTH,null,PROFILE
1pprofile.1p.snapshot.dev,userProfileBatchService,/api/users/list.*,null,/users/list,null,FALSE,null,NOAUTH,null,PROFILE
1pprofile.1p.snapshot.dev,userProfilev2Service,/api/v2users.*,/api/v2users,/users,null,FALSE,CORSHeadersFilter,AUTH,null,PROFILEV2
1pprofile.1p.snapshot.dev,userProfilev2NoAuthService,/api/v2users/.*/media/image||/api/v2users/user/[a-fA-F0-9-]+$,/api/v2users,/users,null,FALSE,CORSHeadersFilter,NOVALIDATE,null,PROFILEV2
1pprofiles.1p.snapshot.dev,profileAuthPreFilter,/api/profile/user.*,null,/profile/user,null,FALSE,CORSHeadersFilter,AUTH,null,PROFILES
1pprofilesearch.1p.snapshot.dev,profileSearchPreFilter,/api/profilesearch.*,/api/profilesearch,/search,null,FALSE,null,AUTH,null,PROFILESEARCH
1precommend.1p.snapshot.dev,recommendService,/api/recommend/.*,null,/recommend,null,FALSE,null,NOVALIDATE,null,RECOMMEND
1previewerlocator.1p.snapshot.dev,reviewerLocatorService,/api/reviewer/.*,null,/reviewer,null,FALSE,null,NOVALIDATE,null,REVIEWER
1psearchdsl.1p.snapshot.dev,searchDslPreFilter,/api/searchdsl/v1.*,/api/searchdsl/v1,/,null,FALSE,null,NOVALIDATE,null,1PSEARCHDSL
1psearchsage.1p.snapshot.dev,searchSagePreFilter,/api/search/sage.*,/api/search/sage,/,null,FALSE,null,NOVALIDATE,null,1PSEARCHSAGE
1psearchv3.1p.snapshot.dev,searchV3PreFilter,/api/search/v3.*,/api/search/v3,/,null,FALSE,null,NOVALIDATE,null,1PSEARCHV3
1psearchv4.1p.snapshot.dev,searchV4PreFilter,/api/search/v4.*,/api/search/v4,/,null,FALSE,null,NOVALIDATE,null,1PSEARCHV4
1pstructuresearch.1p.snapshot.dev,structuresearchPreFilter,/api/dra/structure/search.*,null,/structure/search,null,FALSE,null,NOVALIDATE,null,STRUCTURESEARCH
1psupport.1p.snapshot.dev,supportService,/api/support.*,null,/support,null,FALSE,null,NOAUTH,null,SUPPORT
1ptypeahead.1p.snapshot.dev,suggestPreFilter,/api/suggest.*,null,/suggest,null,FALSE,null,NOAUTH,null,SUGGEST
1ptypeaheadsage.1p.snapshot.dev,suggestSagePreFilter,/api/suggest.*,/api/suggest.*,/suggest,null,FALSE,null,NOAUTH,null,SAGESUGGEST
1pwatchlistra.1p.snapshot.dev,watchlistV2PreListsAuth,/api/containers.*,null,/containers,null,FALSE,null,AUTH,null,WATCHV2
alertsadmin.1p.snapshot.dev,aaaPreFilter,/aaa.*,/aaa,/,null,TRUE,null,NOVALIDATE,null,ALERTS_ADMIN
arcmatchingservice.1p.snapshot.dev,arcMatchingService,/api/arc/.*,null,/arc,null,FALSE,null,NOVALIDATE,null,ARCMATCHING
brsincrementalindex.1p.snapshot.dev,brsIncrementalIndex,/api/brs/.*,null,/brs,null,FALSE,null,NOVALIDATE,null,BRSINCREMENTALINDEX
brssearchdsl.1p.snapshot.dev,brsSearchDslPreFilter,/api/brssearchdsl/v1.*,/api/brssearchdsl/v1,/,null,FALSE,null,NOVALIDATE,null,BRSSEARCHDSL
caastaxonomy.1p.snapshot.dev,caastaxonomyPreFilter,/api/taxonomy.*,null,/,null,FALSE,null,NOVALIDATE,null,CAASTAXONOMY
ccauthorshipresolution.1p.snapshot.dev,ccauthorshipService,/api/authorship.*,null,/authorship,null,FALSE,null,AUTH,null,AUTHORSHIP
ccauthorshipresolution.1p.snapshot.dev,ccauthorshipSingleFeedbackService,/api/authorship/feedback/extract/single.*,null,/authorship/feedback/extract/single,null,FALSE,null,NOAUTH,null,AUTHORSHIP
ccauthorshipresolution.1p.snapshot.dev,ccauthorshipIdsByDateRange,/api/authorship/feedback/extract/ids.*,null,/authorship/feedback/extract/ids,null,FALSE,null,NOAUTH,null,AUTHORSHIP
ccauthorshipresolution.1p.snapshot.dev,ccauthorshipResolve,/api/authorship/resolve.*,null,/authorship/resolve,null,FALSE,null,NOAUTH,null,AUTHORSHIP
ccEditorialWsTemplate.1p.snapshot.dev,ccEditorialWsTemplateFilter,/ws_template.*,/ws_template,/,null,FALSE,null,PASSTHRU,null,ws_template
CDDIANALYTICS.1p.snapshot.dev,cddiAnalyticsCountsPreFilter,/api/cddi/analytics/counts.*,null,/counts,null,FALSE,null,AUTH,CDDI_CDDI,CDDIANALYTICS
CDDIANALYTICS.1p.snapshot.dev,cddiAnalyticsCalculationsPreFilter,/api/cddi/analytics/calculations.*,null,/calculations,null,FALSE,null,AUTH,CDDI_CDDI,CDDIANALYTICS
CDDIANALYTICS.1p.snapshot.dev,cddiAnalyticsFilterByValueRangePreFilter,/api/cddi/analytics/range/filter.*,null,/range/filter,null,FALSE,null,AUTH,CDDI_CDDI,CDDIANALYTICS
CDDICONFIG.1p.snapshot.dev,cddiconfigPreFilter,/api/cddi/config.*,null,/config,null,FALSE,null,AUTH,CDDI_CDDI,CDDICONFIG
CDDIEXPORT.1p.snapshot.dev,cddiexportPreFilter,/api/cddi/export.*,null,/export,null,FALSE,null,AUTH,CDDI_CDDI,CDDIEXPORT
CDDIFILTERS.1p.snapshot.dev,cddifiltersPreFilter,/api/cddi/filters.*,null,/filters,null,FALSE,null,AUTH,CDDI_CDDI,CDDIFILTERS
cddimarketingui.integrity.snapshot.dev,igrMarketinguiPreFilter,/marketing/drugdiscovery||/marketing/drugdiscovery/.*||/ui/drugdiscovery/marketing||/ui/drugdiscovery/marketing/.*,/,/,null,FALSE,null,NOVALIDATE,null,CDDI_MARKETINGUI
cddimarketinguiFb1.integrity.snapshot.dev,igrMarketinguiFb1PreFilter,null,/,/,null,FALSE,null,NOVALIDATE,null,CDDI_MARKETINGUI_FB1
CDDIONTOLOGIES.1p.snapshot.dev,cddiontologiesPreFilter,/api/cddi/ontologies.*,null,/ontologies,null,FALSE,null,AUTH,CDDI_CDDI,CDDIONTOLOGIES
CDDITABLE.1p.snapshot.dev,cdditablePreFilter,/api/cddi/table.*,null,/table,null,FALSE,null,AUTH,CDDI_CDDI,CDDITABLE
CDDITABLE.1p.snapshot.dev,cdditableCountsPreFilter,/api/cddi/counts.*,null,/counts,null,FALSE,null,AUTH,CDDI_CDDI,CDDITABLE
CDDITABLE.1p.snapshot.dev,cdditableIdsPreFilter,/api/cddi/ids.*,null,/ids,null,FALSE,null,AUTH,CDDI_CDDI,CDDITABLE
cdxseed.1p.snapshot.dev,cdxPreFilter,/cdx.*,/cdx,/,null,FALSE,null,NOVALIDATE,null,CDX_SEED
censubui.scholarone.snapshot.dev,censubuiPreFilter,/censub.*,/censub,/,null,FALSE,null,NOVALIDATE,null,CENSUB_FRONTEND
censubui.scholarone.snapshot.dev,mjlbetauiPreFilter,/mjl-beta.*,/mjl-beta,/,null,FALSE,null,NOVALIDATE,null,CENSUB_FRONTEND
centralsubmission.scholarone.snapshot.dev,censubPublicPrefilter,/api/censub/public.*,/api/censub/public,/central-submission/public,null,FALSE,null,NOVALIDATE,null,centralsubmission
centralsubmission.scholarone.snapshot.dev,censubRestrictedPrefilter,/api/censub/restricted.*,/api/censub/restricted,/central-submission/restricted,null,FALSE,null,AUTH,null,centralsubmission
cmcapi.1p.snapshot.dev,cmcapiPreFilter,/api/cmc/services.*,null,/,null,FALSE,null,AUTH,"CMC_BIO_REG||""CMC_REG""",CMCAPI
cmcchangehistory.1p.snapshot.dev,cmcchangehistoryPreFilter,/api/cmcchangehistory.*,null,/,null,FALSE,null,NOVALIDATE,null,CMCCHANGEHISTORY
cmcgui.1p.snapshot.dev,cmcguiPreFilter,/cmc||/cmc/.*,/cmc,/,null,FALSE,null,NOVALIDATE,null,CMC_GUI
cortellisalertapi.cortellis.snapshot.dev,cortellisalertapiPreFilter,/api/cortellis/alert.*,/api/cortellis/alert,/cortellisalert,null,FALSE,null,AUTH,null,CORTELLISALERTAPI
cortellisalertapp.cortellis.snapshot.dev,cortellisAlertFilter,/cortellis/alert/||/cortellis/alert/.*,/cortellis/alert/,/,null,FALSE,null,NOVALIDATE,null,CORTELLISALERTAPP
cortellisautocompleteapi.cortellis.snapshot.dev,cortellisautocompleteapiPreFilter,/api/cortellis/autocomplete.*,/api/cortellis/autocomplete,/cortellisautocomplete,null,FALSE,null,AUTH,null,CORTELLISAUTOCOMPLETEAPI
cortellisconfigurationapi.cortellis.snapshot.dev,cortellisconfigurationapiPreFilter,/api/configtestget.*,null,/configtestget,null,FALSE,null,NOVALIDATE,null,CORTELLISCONFIGURATIONAPI
cortellisconfigurationapi.cortellis.snapshot.dev,configLandingPageHeaderPreFilter,/api/featureConfig.*,null,/featureConfig,null,FALSE,null,NOVALIDATE,null,CORTELLISCONFIGURATIONAPI
cortellisconfigurationapi.cortellis.snapshot.dev,landingPageHeaderConfigPreFilter,/api/landingPageHeaderConfig.*,null,/landingPageHeaderConfig,null,FALSE,null,NOVALIDATE,null,CORTELLISCONFIGURATIONAPI
cortellisconfigurationapi.cortellis.snapshot.dev,landingPageToolsConfigPreFilter,/api/configLandingPageTools.*,null,/configLandingPageTools,null,FALSE,null,NOVALIDATE,null,CORTELLISCONFIGURATIONAPI
cortellisconfigurationapi.cortellis.snapshot.dev,landingPageConfigFilter,/api/configEiddo.*,null,/configEiddo,null,FALSE,null,NOVALIDATE,null,CORTELLISCONFIGURATIONAPI
cortellisconfigurationapi.cortellis.snapshot.dev,landingPageAdvSearchFilter,/api/riAdvancedSearch.*,null,/riAdvancedSearch,null,FALSE,null,NOVALIDATE,null,CORTELLISCONFIGURATIONAPI
cortellisconfigurationapi.cortellis.snapshot.dev,cortellistestPreFilter,/api/testNew.*,null,/testNew,null,FALSE,null,NOVALIDATE,null,CORTELLISCONFIGURATIONAPI
cortellisconfigurationapi.cortellis.snapshot.dev,cortellisConfigurationPreFilter,/api/cortellis/configuration.*,/api/cortellis/configuration,/cortellisconfigurationapi,null,FALSE,null,AUTH,null,CORTELLISCONFIGURATIONAPI
cortellisdealslandingcomponent.cortellis.snapshot.dev,cortellisDealsLandingComponentFilter,/cortellis/deals/landing/ri||/cortellis/deals/landing/ri/.*,/cortellis/deals/landing/ri,/,null,FALSE,null,NOVALIDATE,null,CORTELLIS_DEALS_LANDING_COMPONENT
cortellisexportapp.cortellis.snapshot.dev,cortellisExportFilter,/cortellis/export/||/cortellis/export/.*,/cortellis/export/,/,null,FALSE,null,NOVALIDATE,null,CORTELLISEXPORTAPP
cortellisexportsearchapi.cortellis.snapshot.dev,cortellisexportsearchapiPreFilter,/api/cortellis/export.*,/api/cortellis/export,/cortellisexport,null,FALSE,null,AUTH,null,CORTELLISEXPORTSEARCHAPI
cortellisfrontend.cortellis.snapshot.dev,cortellisFrontendFilter,/intelligence/suite||/intelligence/suite/.*,/intelligence/suite,/,null,FALSE,null,NOVALIDATE,null,CORTELLISFRONTEND
cortellislandingapp.cortellis.snapshot.dev,cortellisLandingAppFilter,/cortellis/landing/ri||/cortellis/landing/ri/.*,/cortellis/landing/ri,/,null,FALSE,null,NOVALIDATE,null,CORTELLIS_LANDING_APP
cortellislandingcomponent.cortellis.snapshot.dev,cortellisLandingComponentFilter,/intelligence/landing||/intelligence/landing/.*,/intelligence/landing,/,null,FALSE,null,NOVALIDATE,null,CORTELLIS_LANDING_COMPONENT
cortellisontologyapi.cortellis.snapshot.dev,cortellisontologyapiPreFilter,/api/testgetontology.*,null,/testgetontology,null,FALSE,null,AUTH,null,CORTELLISONTOLOGYAPI
cortellisontologyapi.cortellis.snapshot.dev,browseOntologyDataPreFilter,/api/browseOntologyData.*,null,/browseOntologyData,null,FALSE,null,AUTH,null,CORTELLISONTOLOGYAPI
cortellisontologyapi.cortellis.snapshot.dev,cortellisOntologyGenericFilter,/api/cortellis/ontology.*,/api/cortellis/ontology,/cortellisontology,null,FALSE,null,AUTH,null,CORTELLISONTOLOGYAPI
cortellisreportapp.cortellis.snapshot.dev,cortellisReportFilter,/cortellis/report/||/cortellis/report/.*||/site-report/||/site-report/.*,/cortellis/report/,/,null,FALSE,null,NOVALIDATE,null,CORTELLISREPORTAPP
cortellisreportcomponent.cortellis.snapshot.dev,cortellisReportFilter,/cortellis/report/||/cortellis/report/.*||/site-report/||/site-report/.*,/site-report/,/,null,FALSE,null,NOVALIDATE,null,CORTELLISREPORTCOMPONENT
cortellisresultsapp.cortellis.snapshot.dev,cortellisResultsAppFilter,/cortellis/results/||/cortellis/results/.*,/cortellis/results/,/,null,FALSE,null,NOVALIDATE,null,CORTELLISRESULTSAPP
cortellisresultscomponent.cortellis.snapshot.dev,cortellisResultsFilter,/cortellis/resultscomp/||/cortellis/resultscomp/.*,/cortellis/resultscomp/,/,null,FALSE,null,NOVALIDATE,null,CORTELLISRESULTSCOMPONENT
cortellisretrieveapi.cortellis.snapshot.dev,cortellisretrieveapiPreFilter,/api/retrievetestget/.*,null,/retrievetestget,null,FALSE,null,NOVALIDATE,null,CORTELLISRETRIEVEAPI
cortellisretrieveapi.cortellis.snapshot.dev,cortellisRetrieveDataPreFilterForGRCdata,/api/retrievegrcdata.*,null,/retrievegrcdata,null,FALSE,null,NOVALIDATE,null,CORTELLISRETRIEVEAPI
cortellisretrieveapi.cortellis.snapshot.dev,cortellisRetrieveDataPreFilterForIRdata,/api/retrieveirdata.*,null,/retrieveirdata,null,FALSE,null,NOVALIDATE,null,CORTELLISRETRIEVEAPI
